('aerospace fundamentals', 'aero 121')
('special problems for undergraduates', 'aero 200')
('introduction to aerospace design', 'aero 215')
('aerospace fluid mechanics', 'aero 302')
('aerodynamics and flight performance', 'aero 306')
('air and space', 'aero 310')
('fundamentals of dynamics and control', 'aero 320')
('experimental sensors actuators and control', 'aero 321')
('introduction to orbital mechanics', 'aero 351')
('special problems for advanced undergraduates', 'aero 400')
('propulsion systems', 'aero 401')
('spacecraft propulsion systems', 'aero 402')
('applied computational fluid dynamics', 'aero 406')
('aircraft performance', 'aero 425')
('experimental stress analysis', 'aero 433')
('aircraft design i', 'aero 443')
('spacecraft design i', 'aero 447')
('spaceflight dynamics ii', 'aero 452')
('aerospace engineering professional preparation', 'aero 460')
('aerospace systems senior laboratory', 'aero 465')
('cooperative education experience', 'aero 493')
('individual study', 'aero 500')
('applications of unmanned aircraft systems', 'aero 513')
('aerospace structural dynamics analysis', 'aero 534')
('thesis (design project)', 'aero 599')
('introduction to agribusiness', 'agb 101')
('introduction to sales', 'agb 202')
('agricultural economics', 'agb 212')
('agribusiness financial accounting', 'agb 214')
('agribusiness data literacy', 'agb 260')
('food and fiber marketing', 'agb 301')
('innovation and entrepreneurship in agriculture', 'agb 304')
('introduction to agribusiness finance', 'agb 308')
('intermediate agribusiness finance', 'agb 311')
('principles of agribusiness management', 'agb 322')
('decision making with agribusiness accounting information', 'agb 323')
('agribusiness data analysis', 'agb 327')
('decision tools for agribusiness', 'agb 328')
('agricultural personnel management', 'agb 369')
('agricultural market structure and strategy', 'agb 452')
('senior project - applied agribusiness problems', 'agb 462')
('orientation to horticulture and crop science', 'aeps 101')
('people pests and plagues', 'aeps 110')
('principles of horticulture and crop science', 'aeps 120')
('landscape installation and maintenance', 'aeps 123')
('forage crops', 'aeps 150')
('beekeeping', 'aeps 175')
('special problems for undergraduates', 'aeps 200')
('organic enterprise project', 'aeps 203')
('orchard and vegetable enterprise project', 'aeps 205')
('floral design i', 'aeps 215')
('plant materials ii', 'aeps 234')
('horticultural production techniques', 'aeps 245')
('agricultural entomology', 'aeps 313')
('principles of organic crop production', 'aeps 315')
('weed biology and management', 'aeps 321')
('plant pathology', 'aeps 323')
('plants food and biotechnology', 'aeps 329')
('advanced viticulture - fall', 'aeps 331')
('greenhouse vegetable production', 'aeps 333')
('internship in horticulture and crop science', 'aeps 339')
('cut flower production', 'aeps 341')
('special problems for advanced undergraduates', 'aeps 400')
('advances in plant pathology', 'aeps 428')
('biological control for pest management', 'aeps 441')
('senior project i', 'aeps 461')
('senior project ii', 'aeps 462')
('individual study in horticulture and crop science', 'aeps 500')
('graduate internship in horticulture and crop science', 'aeps 539')
('thesis in crop science', 'aeps 596')
('thesis in environmental horticulture science', 'aeps 597')
('thesis in fruit science', 'aeps 598')
('thesis in plant protection science', 'aeps 599')
('orientation to agricultural communication & agricultural science', 'agc 102')
('special problems in agricultural communication', 'agc 200')
('california fairgrounds and expositions', 'agc 314')
('internship in agricultural communications', 'agc 339')
('advanced special problems in agricultural communication', 'agc 400')
('foundations of agricultural leadership', 'agc 404')
('multimedia storytelling in agriculture and science', 'agc 425')
