,Course,Sect,Class,Type,GE,Req,Days,Start,End,Instructor,Location,LCap,ECap,Enrl,Wait,Drop,ICS,Format,Description,Quarter
0,AERO 121,1.0,1055,Lec,,,M,02:10 PM,03:00 PM,"Abercromby, K",180-0101,134.0,120.0,116.0,0.0,7.0,ICS,in-person,Aerospace Fundamentals,F
1,AERO 121,1.0,1055,Lec,,,M,02:10 PM,03:00 PM,"Abercromby, K",180-0101,134.0,120.0,116.0,0.0,7.0,ICS,in-person,Aerospace Fundamentals,F
2,AERO 121,2.0,1056,Lab,,,T,08:10 AM,11:00 AM,"Westrick, S",041-0211,12.0,20.0,14.0,0.0,3.0,ICS,in-person,Aerospace Fundamentals,F
3,AERO 121,2.0,1056,Lab,,,T,08:10 AM,11:00 AM,"Westrick, S",041-0211,12.0,20.0,14.0,0.0,3.0,ICS,in-person,Aerospace Fundamentals,F
4,AERO 121,3.0,1057,Lab,,,T,12:10 PM,03:00 PM,"Prakash, D",041-0211,12.0,20.0,20.0,0.0,2.0,ICS,in-person,Aerospace Fundamentals,F
5,AERO 121,3.0,1057,Lab,,,T,12:10 PM,03:00 PM,"Prakash, D",041-0211,12.0,20.0,20.0,0.0,2.0,ICS,in-person,Aerospace Fundamentals,F
6,AERO 121,4.0,1058,Lab,,,T,03:10 PM,06:00 PM,"Li, A",041-0211,12.0,20.0,21.0,0.0,4.0,ICS,in-person,Aerospace Fundamentals,F
7,AERO 121,4.0,1058,Lab,,,T,03:10 PM,06:00 PM,"Li, A",041-0211,12.0,20.0,21.0,0.0,4.0,ICS,in-person,Aerospace Fundamentals,F
8,AERO 121,5.0,2533,Lab,,,R,08:10 AM,11:00 AM,"Hammond, J",041-0211,12.0,20.0,20.0,0.0,2.0,ICS,in-person,Aerospace Fundamentals,F
9,AERO 121,5.0,2533,Lab,,,R,08:10 AM,11:00 AM,"Hammond, J",041-0211,12.0,20.0,20.0,0.0,2.0,ICS,in-person,Aerospace Fundamentals,F
10,AERO 121,6.0,1059,Lab,,,R,12:10 PM,03:00 PM,"Prakash, D",041-0211,12.0,20.0,20.0,0.0,1.0,ICS,in-person,Aerospace Fundamentals,F
11,AERO 121,6.0,1059,Lab,,,R,12:10 PM,03:00 PM,"Prakash, D",041-0211,12.0,20.0,20.0,0.0,1.0,ICS,in-person,Aerospace Fundamentals,F
12,AERO 121,7.0,1060,Lab,,,R,03:10 PM,06:00 PM,"Cieply, N",041-0211,12.0,20.0,21.0,0.0,2.0,ICS,in-person,Aerospace Fundamentals,F
13,AERO 121,7.0,1060,Lab,,,R,03:10 PM,06:00 PM,"Cieply, N",041-0211,12.0,20.0,21.0,0.0,2.0,ICS,in-person,Aerospace Fundamentals,F
14,AERO 200,1.0,2501,Ind,,,,,,"Marshall, D",,,10.0,0.0,0.0,0.0,,asynchronously,Special Problems for Undergraduates,F
15,AERO 200,2.0,****,Ind,,,,,,"Abercromby, K",,,10.0,0.0,0.0,0.0,,asynchronously,Special Problems for Undergraduates,F
16,AERO 200,3.0,****,Ind,,,,,,"DeTurris, D",,,10.0,0.0,0.0,0.0,,asynchronously,Special Problems for Undergraduates,F
17,AERO 200,4.0,****,Ind,,,,,,"Deffo, A",,,10.0,0.0,0.0,0.0,,asynchronously,Special Problems for Undergraduates,F
18,AERO 200,5.0,****,Ind,,,,,,"Drake, A",,,10.0,0.0,0.0,0.0,,asynchronously,Special Problems for Undergraduates,F
19,AERO 200,6.0,****,Ind,,,,,,"Hiremath, N",,,10.0,5.0,0.0,0.0,,asynchronously,Special Problems for Undergraduates,F
20,AERO 200,7.0,****,Ind,,,,,,"Marshall, D",,,10.0,0.0,0.0,0.0,,asynchronously,Special Problems for Undergraduates,F
